-- Bitte auswählen --; -- Bitte auswählen --; 
-1.62728619029689
0.574700141820475
true
16
This is the question x;0.0;<Korrekte Lösung>;<Korrekte Lösung>;1.0 / 1.0 (100.0% )
This is the question x;0.0;<Korrekte Lösung>;<Falsche Lösung>;0.0 / 1.0 (0.0% )
This is the question x;0.0;<Korrekte Lösung>;<Falsche Lösung>;0.0 / 1.0 (0.0% )
This is the question x;0.0;<Korrekte Lösung>;<Falsche Lösung>;0.0 / 1.0 (0.0% )
This is the question x;0.0;<Korrekte Lösung>;<Falsche Lösung>;0.0 / 1.0 (0.0% )
This is the question x;0.0;<Korrekte Lösung>;<Falsche Lösung>;0.0 / 1.0 (0.0% )
This is the question x;0.0;<Korrekte Lösung>;<Falsche Lösung>;0.0 / 1.0 (0.0% )
This is the question x;0.0;<Korrekte Lösung>;<Falsche Lösung>;0.0 / 1.0 (0.0% )
This is the question x;0.0;<Korrekte Lösung>;<Falsche Lösung>;0.0 / 1.0 (0.0% )
This is the question x;0.0;<Korrekte Lösung>;<Falsche Lösung>;0.0 / 1.0 (0.0% )
This is the question x;0.0;<Korrekte Lösung>;<Falsche Lösung>;0.0 / 1.0 (0.0% )
This is the question x;0.0;<Korrekte Lösung>;<Falsche Lösung>;0.0 / 1.0 (0.0% )
This is the question x;0.0;<Korrekte Lösung>;<Falsche Lösung>;0.0 / 1.0 (0.0% )
This is the question x;0.0;<Korrekte Lösung>;<Falsche Lösung>;0.0 / 1.0 (0.0% )
This is the question x;0.0;<Korrekte Lösung>;<Falsche Lösung>;0.0 / 1.0 (0.0% )
This is the question x;0.0;<Korrekte Lösung>;<Falsche Lösung>;0.0 / 1.0 (0.0% )
